"Number ;Variety;source;Context ;Focus;Position;Relative_Position;be&also;R_S_P;"
"128;HKE;www6.cityu.edu.hk;Arts and Humanities. The College prides itself in its research reputation, and is also concerned to provide excellent opportunities for research degrees at the level of MPhil and PhD;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"130;HKE;...torcouponreview.info;, with SSL, telnet, massive of gb space, traffic reports etc.. also depends on what country your in also # Try http: //www.000webhost.com they provide website;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"132;HKE;...innovationaward.asia;""behind that leads to ultimate social change - """" Social Innovation """", which is also relatively weak in AsiAa, creating a big barrier for social entrepreneurship to groom in"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"135;HKE;chinausfocus.com;U.S. to have more strategic cooperation with each other, while the geopolitical competition is also deepened. Therefore, it is insufficient for the U.S. to maintain the current mutually;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"137;HKE;magentogarden.com;developers also complain that the documentation of Magento is far from enough, and will also like to have some other version of Magento like Python. Besides, there're;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"138;HKE;sfc.hk;addition to providing updates on organisational matters of immediate interest to employees, our CEO also answers questions staff submitted through a designated e-mailbox set up prior to the meeting.;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"139;HKE;geobaby.com;you'll go nuts! The internet is freind and foe!) and you also have a gut feeling of what might work for you. I knew when i;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"140;HKE;tlikebubbletea.net;and no other jewelry. As I continue to detox my wardrobe, I am also starting to clear out my jewelry drawers, keeping only the things of value whether;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"145;HKE;unsv.com;would not invade Cuba. Kennedy agreed, and did so publicly. Secretly he also agreed to another demand. He promised that the United States would remove its Jupiter;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"146;HKE;ifun5.com;encapsulate state related to the user event, such as the associated touches. It also records the moment the event was generated. # 4. Each event has one;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"149;HKE;lawinfochina.com;was formally incorporated into China Law Information Inc. and published an English version. It also designed its webpage as a gateway to other online resources with its own search engine;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"150;HKE;joyen.net;. And he served on several federal committees. # BOB DOUGHTY: The NSF also plans to present its Public Service Award to Moira Gunn. She was the first;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"155;HKE;ecology.hku.hk;the same - if not why do you think that is? # You will also have carried out a simple quantitative study on their ecology, and looked for trends;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"158;HKE;islam.org.hk;have contributed to the advancement of Islam among the Chinese in Malaysia. They are also a fine example of selective acculturation towards Malay culture, without bordering on assimilation.;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"16;HKE;prestigehongkong.com;wines, among which Clos du Mesnil has achieved almost legendary status (the maison also produces an even rarer and more expensive single-vineyard blanc de noirs: Clos d'Ambonnay);O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"161;HKE;51voa.com;a great success. Critics praised its clarity and honesty. But the story was also disputed. It openly deals with homosexual issues of men loving men. Truman Capote;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"164;HKE;oof.cc;his combat experience and practical judgment without letting rank get in the way. We also found it easy to talk to each other because he was from Yamaguchi and I;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"167;HKE;...gglobalinstitute.org;""Indian consumer. """" # However, in celebrating the coming gains, let us also pause to think about how to avoid the consequences of too much liberalisation too soon"";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"169;HKE;samchadwickphoto.com;buses and an underground train which are efficient, comfortable and fast. The trams also take up dedicated lanes in already over-crowded streets. One wonders why the tram has;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"17;HKE;51voa.com;traveling through the Appalachian Mountains had kept many people from going west. The mountains also prevented people in the west from sending their wood and farm products east. But;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"170;HKE;...biblereincarnate.com;and her talk. If she had come to the point of being unreasonable, also suggested that her husband think about why is not your own fault. # Break;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"172;HKE;qclt.com;EWAHOMElogsstdout.log 7.2.3 Client Side Logging # Besides logging on server side, logging can also be influenced on client side. This can mainly be used for troubleshooting of client;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"173;HKE;chinaworker.info;""debt, unsuccessfully by the way, a social debt is building up that will also have to be paid """". # Fiscal austerity: The policy of' fiscal"";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"175;HKE;e.winandmac.com;but it's a little bit smoother. # The new and updated version has also allowed users to save the photo attachment. You would need to click the photo;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"176;HKE;hongwrong.com;forbids' wars of aggression' and gave rise to the Rome Statute -- I also stated that he defied articles 31 and 51 of the UN charter. Leaked Downing;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"177;HKE;...inablog.blogspot.com;Banking Corporation (HSBC), another key organization to monitor China manufacturing activities, also reported that its China manufacturing Purchasing Managers Index (compiled by Markit) reading was;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"178;HKE;landofnocheese.com;sea floor (as opposed to the ones on rocks, above). These also have clownfish in them sometimes. In daytime these look drab and brown but on;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"179;HKE;hktdc.com;including Indonesia, the Philippines, Vietnam and Cambodia. # The Lebanese government has also spared no effort in attracting foreign investment. The government legislated in 2001 to protect;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"180;HKE;...tus.buddhistdoor.com;""but its portrait of """" forgiveness and reconciliation """" in a deeper level. It also explores how one can get along with one's dark shadow (the Shadow)"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"183;HKE;51casualshoe.com;facial features and the expressions of the people are given more importance. It can also be said that in portrait photography, the entire effort given by the photographer is;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"184;HKE;en.prnasia.com;they will always include contextual errors when translating large amounts of content. You should also remember that word-for-word translations rarely result in great content, and a native speaker will;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"185;HKE;annatam.com;country (many people get it from HK)... but a lot of people also told me that I do nt need to leave china and I can get it;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"187;HKE;yidacn.net;""industry, including being CEO of the newspaper """" HK-Taiwan Information """". He is also a part-time professor at the Tourism College of Fujian Normal University, a tutor for"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"188;HKE;hkpl.gov.hk;Library Catalogue terminals at all public libraries and the Internet. Besides, you can also use Hong Kong ID card number to access the online services;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"189;HKE;airnewzealand.com.hk;services. Check here to find out more about these late services. # Please also note that Koru lounge access is not available for customers travelling on grabaseat Domestic Standby;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"191;HKE;masojs.com;great value simply because some businesses not only will fine you, nevertheless they can also forever increase your APR to a extremely high percentage. # Mall greeting cards are;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"193;HKE;sites.cdnis.edu.hk;want to be looked down on. He was fighting for his pride, and also revenge for his family, because they have always been looked down on by the;OC;Pre-adjacent;Adjacent;;After_P;"
"194;HKE;alloexpat.com;simply come to hong kong, find a job and start working. You can also work as feelancer or teacher or whatever interests you. # Or what would happen;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"195;HKE;esf.edu.hk;T9 or even T10 signals are raised. # Amber, red and black rainstorms also occur during this period. Schools close during red and black rainstorms. # There;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"197;HKE;sassymamahk.com;the honey and blend until smooth. Garnish with granola or almonds. You can also chill for about an hour for a refreshing coolness. # Yield: Serves 2;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"198;HKE;maint.ooilgroup.com;16-year-old 5,344 TEU vessel' OOCL China' was sold in early July and was also leased back from the new owner for 3 years on a time-charter basis. #;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"199;HKE;...tonese.posterous.com;Indeed, we note that the development of school-based Chinese curriculum for NCS students is also the approach adopted by many international schools. # Necessary arrangements are being made to;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"2;HKE;info.gov.hk;state of play for our professional and legal services in Hong Kong. I will also highlight Hong Kong's gateway role for overseas firms to reach markets in Mainland China;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"201;HKE;ganbing123.com;. This might be something you knew about before the surgery, but it can also be slightly surprising to some men as they didn't think anything went wrong with;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"202;HKE;thaiworldview.com;the public to choose from, including reconstructing the school. # The developer will also be required to inform the Antiquities and Monuments Office if it discovers any historic features;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"203;HKE;hbstr.com;competition more than ten years ago has gone through in the United States, has also traveled in Europe, Japan, almost, passed th # Amazon Vice President Fang;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"205;HKE;tannerdewitt.com;shareholders' meeting (which will require 21 days' notice), and must also be advertised in the Hong Kong Gazette and in newspapers. Among the items of;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"206;HKE;makeawish.org.hk;her wish journey was not as smooth as she hoped. However, it is also the reason that made Sze-ting treasure every moment during her study tour in England more;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"21;HKE;volunteerchina.org;Volunteering life is not extraordinary and easy, It is a life, which is also full of hard working and difficulties, But still, it is a life with;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"210;HKE;sites.cdnis.edu.hk;about how he was very vacuous when he did things for his sister, and also listened to his sister to run stark naked around the house. # Before meeting;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"213;HKE;maxdesign.com.hk;iron will bind us JiangDa captain ticket, blackmail us one hundred rifles, we also can't dozen you, we play you are in order to recapture the anti-japanese;Auxillary ;Pre-adjacent;Adjacent;;After_P;"
"214;HKE;jxstel.com;is mostly given to patients suffering from severe pain or rheumatoid arthritis. It can also be prescribed for treating patients with immune disorders, like lupus. Aspirin is not;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"215;HKE;forum.hktdc.com;favourable in stimulating more high quality wines to enter China through Hong Kong. It also meant that imported wine became more competitive with the domestic product. A consumption tariff;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"217;HKE;furnitureinchina.com;""metallic mesh for a pleasant """" retro """" effect. The various handle types are also important, again in a used-effect metal, like the """" American """" style handle"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"218;HKE;isahongkong.com;to have a website. Jon Picker volunteered to create a website. He will also head an Editorial Committee. Proposed names of website: isahk.com, or isahongkong.com Post;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"221;HKE;...vel-golden-route.com;was produced over 60 years ago, please bear with the quality. It was also a good record of old Hong Kong history, such as HK$200 monthly salary.;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"222;HKE;hkma.gov.hk;participants must be willing to hold it as a store of value. It should also be convertible so that it can be acquired by non-residents. # Clearly, many;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"223;HKE;51voa.com;is that in addition to having objects on display out in the exhibits, we also have researchers actively doing science behind the scenes. So when you're looking at;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"225;HKE;...ketingconsultant.com;, including what this website is about and what they think about it. It also includes information about what other websites are similar to this one. If someone wants;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"226;HKE;thehungryegghead.com;this to be impressive. Many better aquariums in the US. The aqurium was also very crowded, be prepared to fight to look at the fishes. It is;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"227;HKE;vlc.polyu.edu.hk;recognize that... # It is only to be expected that... # It is also worth noting that... # It is likely that... # It is possible that;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"229;HKE;globalsmes.org;automotive, construction, siderurgic and metalmechanic sectors. Small wonder that nuclear energy has also gained momentum, given that state-owned and private companies are manufacturing nuclear reactors for scientific;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"230;HKE;opzoon.com;""analysis, regional PACS system, the management of public health systems. It is also the the Opzoon """" medical wisdom """" landing cloud computing solutions to many participants spoke"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"231;HKE;...dmedia.wordpress.com;""Occupy the Diaoyu Islands """" activities in the near future, forums and blogs may also not post this sort of information. # 13 June 2006, 15:38, Chen"";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"232;HKE;18wangzhuan.com;gains interest at a market rate from the date of the disbursement. It may also be referred to as a loan with an artificially constructed low interest or no interest;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"236;HKE;www6.cityu.edu.hk;and requirement they still need to complete and help them plan their studies. DegreeWorks also facilitates communication between students and Advisors/Major Leaders, and helps staff members monitor the students;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"237;HKE;philosophy.hku.hk;one's possession more concepts, theories and experience to choose from. This is also why it can be useful to try to solve a problem by consulting other people;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"238;HKE;cdeclips.com;singled out by the defense as being visibly moved by the evidence. # Macrae also warned the jury about hearsay evidence, which was admitted as evidence in Kissel's;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"239;HKE;isoc.hk;Minister Tusk considered that there had not been sufficient public consultation. vii # We also note that the Directorate-General for External Policies Policy Department published an assessment of ACTA in;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"241;HKE;qubeglobal.hk;this may come as good news, there is a slight catch -- NABERS will also need to know what the building's rating would have been had it not procured;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"244;HKE;brightstep-hk.com;can really change yourself, reach your goals, only with classic therapies. You also have to deal with the inner part of you that controls who you are,;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"245;HKE;...storalcareschool.org;Hope Church, and works together with other pastors to reach the city. He also leads the famous Prison Church at the maximum-security prison at Olmos, which now totals;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"247;HKE;ganbing123.com;still have to do some preparations before you begin your efforts to conceive. You also have to weigh the validity of the advice that many people will give you.;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"249;HKE;sassymamahk.com;in the west, is not entirely true for in NYC where I lived people also employ domestic helpers called' cleaning ladies'. Most don't live in and;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"25;HKE;hnztb.net;with a round barrel, which is usually a exclusive characteristic. Moreover, it also can give your hair a spherical shed curl, a wavy wrap up, or;Auxillary ;Pre-adjacent;Adjacent;;After_P;"
"250;HKE;wellsofgrace.com;Confucius, Ralph Waldo Emerson, Leo Buscaglia, Moses and Jesus. I am also those whose names and faces have long been forgotten but whose lessons and character will;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"251;HKE;...conditionproject.com;do them. I did 8 minute abs instead. Bad I know. I also had one or two or 5 pinches of cheese at Lupa last night. I;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"252;HKE;internations.org;education and hard work are considered essential for a successful career. However, this also leads to a high competition when it comes to securing a place at the best;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"256;HKE;aaa.org.hk;and home for the artists and Morin herself over the next four years. She also gathered a dedicated team that included Francis Engelmann, an expert on Lao culture who;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"257;HKE;geobaby.com;the experience and think it would be great for my son, but it is also crazy over-whelming! I have been lurking around on the GeoBaby site reading old posts;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"259;HKE;infosec.gov.hk;warranty expiry dates, serial numbers and service contacts, etc. A policy should also be established to prevent staff from removing any computer equipment without prior approval. #;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"261;HKE;en.balagezong.com;the plateau, particularly around the lake. # Trekking up into the range is also possible for the adventurous visitor. Nearby is the world's highest railway station:;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"263;HKE;cnwinenews.com;has heard of the great black wines of Cahors, in southwest France, will also probably be aware they are so-named because of the colour of the beastie from which;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"264;HKE;chinadailyapac.com;""in the country, according to Fan. # """" Our outbound tourism services are also expected to surge rapidly on buoyant demand, although it remains a relatively small portion"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"265;HKE;investlinan.com;amounts of money, however this will likely additionally cause tiny profits. As is also with many different additional exchange systems, substantial affiliate marketor payouts is only going to;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"266;HKE;...ww2.elc.polyu.edu.hk;' Due to the fact that + Main Clause', the following structures are also acceptable:' Because + Main Clause' and' Because of + Noun Phrase;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"267;HKE;newsmekong.org;and income of thousands of families, NAPHIC says. # The impact of culling also goes beyond the mere procedure of killing itself. Villagers subsequently found it difficult to;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"269;HKE;chinaoffshore.com.hk;and trade US-listed ETFs tracking foreign indexes, allowing them to realize 24-hour trading and also buy into the Brazilian and Russian markets. If they buy the closing index at;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"27;HKE;...ongkong.asiaxpat.com;introduced to HK, a lot of apartments that have service lifts, they were also expected to use those and in older buildings where were no lifts but back staircases;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"270;HKE;ccnew.org;the introduction of plain packaging will lead to an increase in counterfeiting. # It also claims that covert safety markings will be used in standardised packaging that will help authorities;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"271;HKE;cathaypacific.com;or codeshare flights operated by third-party carriers. # 1 # Member's spouse can also enjoy this benefit when travelling with the member. # 2 # Subject to availability;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"272;HKE;yinghao.org;clock, Sometimes there are chicken soup to drink. Every time after drinking porridge also said: You guys want to try to make a good showing ah, a;Subject;Post-adjacent;Adjacent;;Between_SP;"
"273;HKE;ganbing123.com;insight into the day to day working life of an MRI technician. You will also be able to make contacts who could be useful to you in the future.;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"274;HKE;amrc.org.hk;sovereignty which structure our way of thinking about politics and society. # The book also documents the contribution of this exploited mass in the building of the economies of post;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"275;HKE;...biblereincarnate.com;""# Although the back from the dead, however, is nothing but Alfred did also not be happy together. Alfred said ruefully: """" It really is too shocking"";O_Predicate;Post-adjacent;Adjacent;;Between_SP;"
"276;HKE;...echanical-papers.com;, I work part time and can fund myself to a degree, but I also havn't got any confirmation of my course fees being payed for. My';O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"278;HKE;buffalo-asia.com;or tablet from anywhere, anytime via 3G or Wi-Fi Internet connections. The CloudStation also lets you save and share the videos and photos you take. # Simply follow;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"279;HKE;...ngkong.angloinfo.com;both the vendor and the purchaser. # Many local newspapers, websites and magazines also have classified sections with extensive property listings. Some will be associated with agencies,;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"281;HKE;chinadailyapac.com;of the' safe haven' assets. Elsewhere, high yield corporate bonds are also benefiting from the ongoing rally in risk and this trend is likely to continue for;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"284;HKE;aerismagazine.com;education and skills training, to help them find another job. # There is also a complete system to cultivate athletes in China. They focus on a specific sport;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"285;HKE;...ongkong.asiaxpat.com;great with my 3 children who occasionally goes on 3am benders with colleagues. I also have to agree with Flashback's advice that going on the least defensive route usually;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"286;HKE;ieaward.com;is etc -- which is where we got our idea for Yuriko. We would also like to make her sword similar to Zer0? s -- except slightly more traditional;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"287;HKE;...ion.judiciary.gov.hk;meet accreditation requirements covering knowledge and skills in negotiation and dispute resolution. They are also required to abide by a Code of Practice. The accreditation bodies will handle the;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"288;HKE;wangyujian.com;failed to build enough units to meet the surging demand. The Tung housing plans also met their targets but built too many units because demand collapsed. Tsang had no;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"289;HKE;ecfahotel-taipei.com;has more to offer. # Besides the renowned Red House Theater, you could also choose to take a bus or MRT or walk to Taipei Main Station Shopping Area;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"29;HKE;sites.cdnis.edu.hk;have misunderstood all that as Darry being a bit mean to him. Darry is also trying to push him to hard to make up his not going to college.;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"290;HKE;...aluminum-machine.com;combustion of various fuels (gas, liquid and solid fuels), atomizing technology also has a wide range of applications in the industries such as non-combustion catalytic granulation,;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"292;HKE;...ochuan.wordpress.com;So is T-invariant, so are. So, as the vague limit of is also T-invariant measure. # Now we fix. We make an observation that if are;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"293;HKE;51voa.com;. She also sang with musicians such as David Byrne and Patti Labelle. Cruz also appeared in several movies. One of her most well known roles was in the;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"294;HKE;oceaniclove.com;trainer for the world famous Flipper TV series in the 1970's. Ric has also put together this clip clearly showing Dolphin trainers working together with fishermen to capture Dolphins;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"295;HKE;seo-hongkong.com;is still in the discovery phase of his / her online shopping experience. It also helps search engine crawl and index pages faster. # Source 12. Product Resources;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"296;HKE;haier.net;"""""", and Haier again ranked No.1 among the 25 all-star enterprises. The magazine also publicized the top 5 enterprises of each industry, and Haier ranked No.1 in both"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"297;HKE;zhongnanhaiblog.com;""My reply: """" Yes we are a part of China, but we are also slightly separate as Hong Kong is a Special Administrative Region, we're different from"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"298;HKE;thetourofchina.com;'s gold-medal winning pursuit team-mate at the 2010 Junior World Track Championships, where he also won the points race to boot, rode the course in 7.45.357. With just;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"299;HKE;theasset.com;Not only are their valuations lower than before the US subprime crisis but they are also discounting default rates of 5.2 percent 2. Such heavy discounting sits uncomfortably, Boon;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"30;HKE;buddhistdoor.com;of afflictions and the obstacle of what is known, to an end. It also means that the beings have transcended the Two Deaths, i.e. glare-sectioned birth and death;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"300;HKE;kitec.com.hk;log in a password again, thereby saving time on our website. Cookies can also enable us to track and target the interests of our users to enhance the experience;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"302;HKE;swirepacific.com;the cabin with an Asian flavour. # New Service-ware and Bedding Cathay Pacific is also introducing a new line of Business Class service-ware featuring simple, elegantly designed white porcelain;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"303;HKE;modguidez.net;. Attractive deals such as cheaper flights, discount rooms and cheaper vacation packages are also available. # Weather No matter what time of the year, British weather can;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"304;HKE;7gg8.com;. The Blackberry 9790 just delivers get speeds of as much as 7.2 mbps and also add speeds of up to 5.76 mbps. Both handsets can connect to the web;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"305;HKE;blogs.elle.com.hk;well-known that anything worn with pastel colors in it will drive attention. Heels can also improve your sex life. In fact, high heels can triple or quadruple the;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"306;HKE;dbgreen.org;""modern twist on these festival items. The traditional egg yolk &; pastry mooncake now also comes in chocolate form (yum!), paper lanterns are being replaced by"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"307;HKE;...angirlinhongkong.com;Craigs List out here, but it sucks. # I've bought and have also scored some free household items from this site because there are always expats moving in;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"308;HKE;chinaworker.info;for workers rights, for the rights to organise free trade unions, and which also supports the struggle of the poor farmers, we said to the Wukan people through;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"311;HKE;sites.cdnis.edu.hk;is bigger with fanta orange and cream soda is not that big. Sprite was also pretty big but not as big as fanta.;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"312;HKE;...ntl.econ.cuhk.edu.hk;to distribute imported products as well as those made in China. Distribution rights will also be provided for China's most restricted distribution sectors such as wholesale, transportation,;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"314;HKE;joyen.net;of science and technology on our everyday lives. # The National Science Foundation will also present a second Public Service Award Tuesday night. It is going to the Exploratorium;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"316;HKE;21voa.com;the dying. Patients still receiving active treatment for diseases like cancer and AIDS can also get hospice help. They can receive palliative care to ease the signs of their;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"317;HKE;hongkongnomnom.com;'re lucky (and stay til the end of the shift), you might also get to say hi to the chef Jake. Overall it's a not a;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"319;HKE;distxiaaoa.com;""summer to select the corresponding acupoints sticking acupuncture acupoint injection cupping scraping therapy It is also called the """" """" """"; fit;; V acupuncture """"; and among"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"320;HKE;chinaleftreview.org;provide substantial programmes for action. Dependency theory and the theory of Three Worlds have also lost their explanatory power as general methods for analyzing the global situation. For example;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"322;HKE;home.mira.net;and that I hoped and expected him to be so in the future. I also told him that it was chiefly owing to Tuscans not paying his rent when it;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"323;HKE;...tonese.posterous.com;? # She was born in Hong Kong # The Pakistani Students Association Hong Kong also had an English-language thread reacting to the news of her enrollment in the police academy;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"324;HKE;...eywellportableac.com;should consider a portable ac instead of a fixed one. Secondly, you must also check the cooling power which is mentioned in BTU/h or Watt, and decide which;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"326;HKE;sites.cdnis.edu.hk;Miss Strangeworth herself: seemingly sweet, but had many hidden thorns. The roses also represent the respect for her family: when her grandmother and mother tended them,;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"327;HKE;internations.org;, PCCW is Hong Kong's largest provider for fixed lines, and you can also request your PCCW connection online. Furthermore, they are only company obligated to provide;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"328;HKE;global-history.org;elephant, and in Cave 61, one finds two such paintings. These paintings also attest to the popular game of elephant taming in late antiquity. It is worth;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"329;HKE;gzlpw.com;speculated that his flamboyant lifestyle was incompatible with the demands of the sport. He also appears to have concluded that the technical aspects of motor vehicle design were degrading the;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"33;HKE;info.gov.hk;"", Wu has successfully developed a contemporary language for the ancient instrument. She has also played music for the films """" The Last Emperor """" and """" The Wedding Banquet"";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"330;HKE;1maidhk.com;early childhood education, geriatric care, pediatric nursing or first aid. You may also have completed your training as part of your formal education. This experience must have;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"332;HKE;...ongkong.asiaxpat.com;floor, accidentally. # Your case sounds very similar to mine. The landlord also wanted to withhold my deposit to replace the floors for what I deemed as fair;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"333;HKE;...welry-everbuying.com;symbol is a representation of importance to religion and charity. # Heart Jewelry can also personify spirituality, morality, emotions, and even intellect. The soul can also;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"335;HKE;chinesetheology.com;""them, I should perhaps have been unable to think them. 32 # He also finds that these ideas were originally """" hidden, scattered, and neglected. """""";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
